JK,JW,PLAFOND,SALDO_DEBET,JAMINAN,KOLEKTIBILITAS,
0,60,50000000,43200000,1,1,
0,120,165000000,155375000,1,1,
0,11,10000000,10000000,2,1,
0,11,16000000,16000000,5,1,
0,12,10000000,10000000,1,1,
1,60,250000000,149999920,1,1,
0,12,10000000,4137971,1,1,
1,12,17000000,17000000,2,1,
0,12,10000000,4188797,1,1,
0,60,70000000,22164730,1,1,
1,8,11000000,11000000,2,1,
1,12,33000000,33000000,1,1,
1,36,12000000,7214975,1,1,
1,9,9000000,4500000,5,1,
1,11,9000000,9000000,#N/A,1,
1,60,35000000,15166610,1,1,
1,60,15000000,10250000,1,1,
1,11,4500000,4500000,2,1,
1,12,14500000,14500000,1,1,
1,36,27000000,25500000,1,1,
1,36,20000000,16666640,1,1,
0,24,15000000,10625000,1,1,
1,60,20000000,9999950,1,1,
1,48,20000000,11660000,1,1,
1,36,25000000,19444440,1,1,
1,7,6000000,6000000,2,1,
1,12,10000000,5000000,2,1,
1,24,30000000,21250000,1,1,
1,60,25000000,9583210,1,1,
0,9,10000000,5000000,2,1,
1,11,20000000,20000000,1,1,
1,36,20000000,17777760,1,1,
1,12,10000000,4209199,1,1,
1,60,50000000,35000024,1,1,
1,48,25000000,18749980,1,1,
1,24,5000000,3333320,1,1,
1,12,4000000,4000000,2,1,
1,12,4000000,4000000,#N/A,1,
1,12,16000000,16000000,1,1,
1,36,12500000,10416650,1,1,
1,24,10000000,4999960,1,1,
1,60,60000000,59000000,1,1,
0,48,12000000,8250000,1,1,
0,9,1000000,1000000,2,1,
1,60,30000000,9850000,1,1,
1,12,40000000,40000000,1,1,
1,36,5000000,1527750,1,1,
1,11,9000000,9000000,1,1,
1,24,15000000,12500000,1,1,
1,60,100000000,79866700,1,1,
0,36,21000000,11083305,1,1,
1,60,35000000,5833250,1,1,
1,6,75000000,75000000,1,1,
1,60,18500000,17266660,1,1,
1,10,8000000,4000000,5,1,
1,12,4000000,4000000,5,1,
1,12,10000000,8755387,1,1,
0,24,2000000,1249985,1,1,
0,24,20000000,20000000,1,1,
0,12,10000000,9339197,1,1,
1,60,45000000,43500000,1,1,
1,11,6500000,6500000,2,1,
1,12,6500000,6500000,5,1,
1,12,19000000,19000000,1,1,
0,60,65000000,53079685,1,1,
0,12,22000000,22000000,2,1,
0,11,35000000,35000000,1,1,
0,12,10000000,3740901,1,1,
1,9,30000000,20000000,5,1,
1,18,6000000,2999985,1,1,
1,24,15000000,13125000,1,1,
0,60,25000000,12083230,1,1,
